species,copper_mm,n_colonies,chroma_median,hue_weighted_mean_deg,hue_concentration_R,L_median
Rhodotorula sp. clade XI,5.0,40,9.575089659421769,44.774095401118586,0.9788325547316231,72.5226650166459
Rhodotorula sp. clade XI,10.0,40,9.9981257680786,51.75196429567742,0.9471288648296634,72.18907408108825
Rhodotorula sp. clade XI,15.0,40,9.147088853474663,59.400523286113945,0.916679277483147,72.0296535552671
Rhodotorula sp. clade XI,20.0,34,8.66314133187608,74.60923099582034,0.9376660597134961,71.41086282036878
Rhodotorula sp. clade XI,25.0,36,7.6662219151066875,67.76582933130175,0.9100231897371046,70.47064104907932
Rhodotorula sp. clade XI,30.0,40,5.85057340822949,82.47943089083988,0.9297706607580281,68.90055164366429
Rhodotorula sphaerocarpa,0.0,116,11.691285378138687,20.37747942486236,0.9915011921518896,73.23260523873225
Rhodotorula sphaerocarpa,5.0,125,13.281302158759528,42.91065757785955,0.9660489191019447,71.40530795632817
Rhodotorula sphaerocarpa,10.0,114,11.28002210446042,44.01916814223653,0.8312345444065067,70.02804384699068
Rhodotorula sphaerocarpa,15.0,119,9.787786737796209,45.44334766038753,0.7508692475934577,69.178241731823
Rhodotorula sphaerocarpa,20.0,89,9.14621369454698,51.342524621125335,0.8576429135406995,68.89827771170644
Rhodotorula sphaerocarpa,25.0,85,7.0661392140124,53.16771889113785,0.9019275396980061,69.65216427574413
Rhodotorula sphaerocarpa,30.0,94,7.870564212894081,64.880617155954,0.7338580741388598,68.7875156868248
Rhodotorula taiwanensis,0.0,115,13.176526404167197,25.36184486760006,0.995193752966767,72.91512116760693
Rhodotorula taiwanensis,5.0,110,14.275385166880394,46.03797916987919,0.9949101993344297,71.1640128660477
Rhodotorula taiwanensis,10.0,111,10.790013267139416,47.25591918410174,0.9948935362116149,70.29108227876782
Rhodotorula taiwanensis,15.0,105,9.634232195287098,43.24275343753254,0.9580532571459076,70.11645880382326
Rhodotorula taiwanensis,20.0,95,7.328285890886528,39.86037382090505,0.8059234026232901,69.53087661216259
Rhodotorula taiwanensis,25.0,90,6.931968291784815,17.283070375996605,0.4533553963095012,67.54919228424839
Rhodotorula taiwanensis,30.0,48,5.3685537677981054,332.055006500438,0.3685135648989366,65.8221662972889
Rhodotorula toruloides,0.0,175,7.042418907019122,16.018763852020808,0.9866438975362503,75.36888826719462
Rhodotorula toruloides,5.0,170,10.085845354035634,45.6852525814841,0.9847894120879079,72.13167282527579
Rhodotorula toruloides,10.0,151,7.055478735174026,43.93464406796713,0.9410076685716281,71.75124405422531
Rhodotorula toruloides,15.0,165,6.793456607878128,43.56356789233682,0.883639534677186,70.90522765549791
Rhodotorula toruloides,20.0,152,5.7981366527520795,48.09966148769509,0.9780964929809407,70.71211671834362
Rhodotorula toruloides,25.0,130,5.07298859791557,46.1156881102594,0.9556675337551281,70.6009747928496
Rhodotorula toruloides,30.0,125,3.038990327933362,54.373730745826514,0.4980779101165902,69.52162822533653
