strain_code,chroma,sat,bright,clone_mean_area,n_plate,AUC_0,AUC_10,AUC_20,AUC_30,AUC_ratio_10,resilience_30,cu_dose_slope,cu_dose_r2,n_cu,IC50_est
DBVPG_4378,9.808128881377478,0.264655244576222,0.5899729152361334,4.354588587877241,4.0,1220577.0,1497373.5,1288075.5,460955.25,1.2267751235686073,0.3776535605701238,-0.030516484518798074,0.5623672838480454,7,28.389975342787437
DBVPG_4380,5.826757133983195,0.1690662953435203,0.5816128786144807,4.550776991291625,4.0,2135341.5,2540795.25,1474182.75,389778.75,1.1898777080855685,0.18253696188642426,-0.05950281445867778,0.7354770711981073,7,23.406146802761935
DBVPG_4408,8.275182630966205,0.21812128839471928,0.5795557717250325,4.3750780647266145,4.0,1360713.75,2041079.0,1317826.0,609285.75,1.5000061548580663,0.4477692314052092,-0.02916651194840489,0.6274046089610613,7,29.76811428244253
DBVPG_4466,10.612965678076755,0.2681368877345328,0.6256837949187457,4.497042010691432,4.0,1704597.75,1865784.0,1704240.0,1156413.0,1.0945596989084374,0.6784081464380672,-0.014737271776719954,0.5771720683387576,7,
DBVPG_4534,8.280157513834181,0.21796960030703547,0.619992179751278,4.5301036047229015,4.0,1918723.5,2069194.5,1592882.25,703699.5,1.0784224511765244,0.3667539903482706,-0.03666193306361949,0.7769362199270204,7,25.691130682323635
DBVPG_4618,11.722953472773181,0.29797564665600906,0.6392433432516975,4.310092955320844,4.0,1267194.0,1370620.5,1060674.75,539285.25,1.0816185209210272,0.42557433984062426,-0.02615711454778213,0.6990317711599141,7,28.927434283598668
DBVPG_4669,12.59264125033546,0.33810039983439,0.594085221637293,4.520272229504256,4.0,1782396.75,2172289.5,1413110.25,352398.0,1.2187463313092328,0.19771018994508377,-0.052596890880564004,0.7262338022081619,7,24.66745056353205
DBVPG_4920,13.594174207438734,0.33063946060410854,0.6442346328933649,4.36429453269364,3.0,1332503.0,2140220.0,1911906.0,1121586.0,1.606165239402838,0.8417136771924716,-0.004108530895206857,0.044078010839245375,7,
DBVPG_4945,11.997792966910971,0.29285412740155337,0.6415369649805448,4.551933125743975,4.0,2028136.5,2386598.25,2257347.75,1567093.5,1.1767443907251804,0.7726765432208335,-0.010131725762837858,0.34337495824757774,7,
DBVPG_4946,11.635136078663182,0.2945307112252615,0.6179369802395667,4.478501562993492,4.0,1709389.5,2335335.75,2063187.0,1927242.75,1.3661811716990189,1.127445061526352,-0.0017829270815726797,0.02985266658581357,7,
DBVPG_4947,10.95188031675063,0.26875130227289334,0.6400482566567482,4.596027741836923,4.0,2167555.5,2666212.5,2465560.5,1783956.0,1.2300550089720885,0.8230266768255761,-0.013958922549422999,0.44803172743267744,7,
DBVPG_4949,7.058430364629864,0.194728630170473,0.5966137687240914,4.508933526050033,3.0,1816767.0,2316738.0,2227170.0,1161085.5,1.2751981954758096,0.639094336257759,-0.01245820804456034,0.31624286002104696,7,
DBVPG_4950,6.387650251940243,0.20893144979818154,0.5645943007553216,4.483275191686397,4.0,1665018.0,1516934.25,1262794.5,572549.25,0.9110617723051643,0.34386970591308924,-0.0369081031484136,0.809926233946087,7,26.09918593985455
