strain_id,species,copper_mm,n_wells,sd_log10_asat,median_asat
27.0,Rhodotorula mucilaginosa,5.0,4,0.1832702814766028,45207.825000000004
27.0,Rhodotorula mucilaginosa,10.0,4,0.19102465629504364,42841.350000000006
27.0,Rhodotorula mucilaginosa,15.0,4,0.2721120881760542,40592.65000000001
27.0,Rhodotorula mucilaginosa,20.0,4,0.2184728547466042,32797.2
27.0,Rhodotorula mucilaginosa,25.0,4,0.1524636243112763,29996.075
27.0,Rhodotorula mucilaginosa,30.0,4,0.14689360955828526,13311.625
28.0,Rhodotorula pacifica,0.0,4,0.1401216321722849,21788.375
28.0,Rhodotorula pacifica,5.0,4,0.0754959870105952,36914.52500000001
28.0,Rhodotorula pacifica,10.0,4,0.0999026440246579,33110.25
28.0,Rhodotorula pacifica,15.0,4,0.10417335487970766,32615.075000000004
28.0,Rhodotorula pacifica,20.0,4,0.19152279669108063,29263.399999999998
28.0,Rhodotorula pacifica,25.0,4,0.25656069178053703,28118.774999999998
28.0,Rhodotorula pacifica,30.0,4,0.4264326580528036,24481.049999999996
29.0,Rhodotorula mucilaginosa,0.0,4,0.6386090024181283,21888.074999999997
29.0,Rhodotorula mucilaginosa,5.0,4,1.0204608923863008,18156.5
29.0,Rhodotorula mucilaginosa,10.0,4,0.69473561840806,23007.525
29.0,Rhodotorula mucilaginosa,15.0,4,0.7404891437594204,21660.924999999996
29.0,Rhodotorula mucilaginosa,20.0,4,0.192855597453585,28985.76249999999
29.0,Rhodotorula mucilaginosa,25.0,4,0.3642252273804619,30244.762499999997
29.0,Rhodotorula mucilaginosa,30.0,4,0.7178584512667524,20121.699999999997
30.0,Rhodotorula mucilaginosa,0.0,4,0.14024100395650146,27993.550000000003
30.0,Rhodotorula mucilaginosa,5.0,4,0.07913983186509399,38608.15
30.0,Rhodotorula mucilaginosa,10.0,4,0.08570390508231306,36346.0
30.0,Rhodotorula mucilaginosa,15.0,4,0.07021257520916213,31602.025
30.0,Rhodotorula mucilaginosa,20.0,4,0.2625087772027217,26480.949999999997
30.0,Rhodotorula mucilaginosa,25.0,4,0.17218048409761408,23520.4
30.0,Rhodotorula mucilaginosa,30.0,4,0.330330341346496,7960.1
31.0,Rhodotorula mucilaginosa,0.0,4,0.10969863824892273,27731.474999999955
31.0,Rhodotorula mucilaginosa,5.0,4,0.03782370528101658,36027.674999999996
