trait,species,n,mean,median,sd,cv_pct,iqr,range
l10med_fixed,Rhodotorula sp. clade I,7,3.846847793428649,3.653806777746784,0.6795893676134291,17.666136122524343,0.9612442389588658,1.8175062532716884
l10med_fixed,Rhodotorula sphaerocarpa,8,4.044747417904025,4.26545583839361,0.5946824752712457,14.702586189656516,0.20592957666908074,1.7748962968706152
l10med_fixed,Rhodotorula taiwanensis,6,3.9954296275505476,4.05489639131795,0.35242949181109123,8.820815898768638,0.4527237668063222,0.93940145101464
l10med_fixed,Rhodotorula toruloides,10,4.317752148299589,4.275428916318286,0.14213790704575102,3.2919422459607266,0.17741281207331827,0.4821556646424412
partial_slope_sd_cu,Rhodotorula dairenensis,8,-0.0023311560805014623,-0.0002801597303883,0.00565327354902167,242.50943968563342,0.004052882365113675,0.0169571892984762
partial_slope_sd_cu,Rhodotorula diobovata,10,0.00908506053559505,0.0057360383275023,0.024471244437098583,269.3569772179374,0.03473492805356378,0.0736837139152913
partial_slope_sd_cu,Rhodotorula graminis,3,-0.0810133536153094,-0.0981736362992659,0.06208083244970109,76.6303697838395,0.06027581008416964,0.12055162016833929
partial_slope_sd_cu,Rhodotorula kratochvilovae,3,-0.008908643305882034,-0.0001016500811521,0.03587824412213338,402.7352189355742,0.0350581809859278,0.0701163619718556
partial_slope_sd_cu,Rhodotorula mucilaginosa,215,0.001007910245951042,0.000240735233725,0.011190231784794641,1110.2408998963776,0.00632673247073735,0.11676148280028299
partial_slope_sd_cu,Rhodotorula pacifica,3,0.0048768261848438,0.008106162787453,0.006076418571447459,124.59780892605426,0.0053945714830483,0.0107891429660966
partial_slope_sd_cu,Rhodotorula paludigena,12,-0.0250627850918386,-0.0246445129455907,0.02033570799583574,81.13905905237092,0.023163010100781076,0.0770057518145028
partial_slope_sd_cu,Rhodotorula sp. clade I,7,-0.003722187793258671,-0.00269218228232,0.02140818986885389,575.1507193599068,0.019661511058864153,0.0658103229763526
partial_slope_sd_cu,Rhodotorula sphaerocarpa,8,-3.104437429555726e-05,0.00309434483537505,0.017355535535164845,55905.573647359946,0.016606330397387917,0.05234155457777
partial_slope_sd_cu,Rhodotorula taiwanensis,6,0.022500739513117984,0.01364857908253115,0.01986329878898535,88.27842648196074,0.0241051508350053,0.0487425494014219
partial_slope_sd_cu,Rhodotorula toruloides,10,0.008463952849170741,0.00536522222574815,0.03367607859715667,397.87649101159747,0.013075742581721074,0.13494762225055779
pace_loglog,Rhodotorula dairenensis,8,0.5178544669674147,0.48624729042463866,0.12617195278244492,24.364365054397442,0.19945692620868277,0.34177115279450576
pace_loglog,Rhodotorula diobovata,10,0.13974076319418627,0.22740067364813746,0.3327341013579025,238.10811802675588,0.1647837635740646,1.1599863843197338
pace_loglog,Rhodotorula glutinis,3,0.6827299227969753,0.6610805385105083,0.08832693989162936,12.937317809328727,0.08631411489804064,0.17262822979608128
pace_loglog,Rhodotorula graminis,3,0.23732562084008582,0.0931045610446207,0.3099512641806075,130.60168686526183,0.2836723472613455,0.567344694522691
pace_loglog,Rhodotorula kratochvilovae,3,0.28149661056640807,0.2328424103200491,0.20116882193278351,71.46402989648986,0.19670656195616448,0.3934131239123289
pace_loglog,Rhodotorula mucilaginosa,216,0.4723049641876916,0.4218298339052685,0.20557598271524238,43.526110945881896,0.16553598390196567,1.874251678356616
pace_loglog,Rhodotorula pacifica,3,0.3491780354004958,0.3642120015938315,0.11803289034365744,33.803068457120325,0.1173126084368219,0.23462521687364374
pace_loglog,Rhodotorula paludigena,16,0.2989696633042537,0.2827570431071584,0.18555335821058122,62.064276408455655,0.22718526669907246,0.7160693763340686
pace_loglog,Rhodotorula sp. clade I,8,0.33542870146494685,0.33397328438537743,0.04968130326783427,14.811285692266885,0.07018152139813938,0.1446580905460787
pace_loglog,Rhodotorula sphaerocarpa,8,0.423525652271626,0.43996313848881463,0.1244566316529919,29.385854430647875,0.13746696300322647,0.38901355516777236
pace_loglog,Rhodotorula taiwanensis,6,0.39638519579465914,0.3667525239944094,0.1303305775872354,32.87977930809278,0.11804191554738203,0.3534554483144597
pace_loglog,Rhodotorula toruloides,10,0.25911971790764293,0.2650736857412486,0.2534281998491519,97.80351796287474,0.3179978078948881,0.8714373173515072
