species,copper_mm,aCV_median,n_colonies,aCV_mean
Rhodotorula paludigena,10.0,0.4179243907367659,152,0.4404785870942107
Rhodotorula paludigena,15.0,0.4997314718282135,155,0.580241144885798
Rhodotorula paludigena,20.0,0.4754230667830975,159,-0.5924780429246259
Rhodotorula paludigena,25.0,0.4916182876904614,160,0.46052622800927157
Rhodotorula paludigena,30.0,0.4655232258305611,143,1.3799728560087459
Rhodotorula sp. clade I,0.0,0.2979006236473367,115,0.16295876146397065
Rhodotorula sp. clade I,5.0,0.2984508962100164,110,0.17732474770084886
Rhodotorula sp. clade I,10.0,0.3560975204987801,109,0.2779253745754839
Rhodotorula sp. clade I,15.0,0.3617006392257538,105,0.3215836107148749
Rhodotorula sp. clade I,20.0,0.406410913099233,89,0.3136005990352098
Rhodotorula sp. clade I,25.0,0.4099823256712058,85,0.389997127783852
Rhodotorula sp. clade I,30.0,0.5074535787191584,90,0.6426517405023751
Rhodotorula sp. clade XI,0.0,0.30462714053077067,40,0.3068516148339938
Rhodotorula sp. clade XI,5.0,0.37147133623081896,40,0.3699044222654505
Rhodotorula sp. clade XI,10.0,0.42101138132313526,40,0.519629842106494
Rhodotorula sp. clade XI,15.0,0.7174298190225712,40,0.8465976503856453
Rhodotorula sp. clade XI,20.0,0.3866529688894423,34,2.5912205376390975
Rhodotorula sp. clade XI,25.0,0.39277449984681223,36,0.46272842173396866
Rhodotorula sp. clade XI,30.0,-0.4952849514803604,40,-0.41301703166487014
Rhodotorula sp. clade XIII,0.0,0.33483425735119526,20,0.3251804609786238
Rhodotorula sp. clade XIII,5.0,0.38166849216925247,20,0.38754268321156077
Rhodotorula sp. clade XIII,10.0,0.6877497803046861,20,2.9468150904635197
Rhodotorula sp. clade XIII,15.0,1.037957343712782,20,2.7931927974949398
Rhodotorula sp. clade XIII,20.0,-4.260556661723527,15,-97.30380446840921
Rhodotorula sp. clade XIII,25.0,-1.628364544139113,15,1.639243287375741
Rhodotorula sp. clade XIII,30.0,-0.6859943188762869,15,-0.8278840435413558
Rhodotorula sphaerocarpa,0.0,0.3228707025875977,116,0.31934053590383354
Rhodotorula sphaerocarpa,5.0,0.2803499734654337,125,-0.0720838055721339
Rhodotorula sphaerocarpa,10.0,0.35610459159989116,114,0.3005062696631116
Rhodotorula sphaerocarpa,15.0,0.3499507228552969,119,0.28286467510716806
Rhodotorula sphaerocarpa,20.0,0.3706911043639483,89,0.40159896514493704
Rhodotorula sphaerocarpa,25.0,0.4108568929123517,85,0.432882901271162
Rhodotorula sphaerocarpa,30.0,0.4861491837744921,94,18.918707211186128
Rhodotorula taiwanensis,0.0,0.3312332027127821,115,0.3283544634096098
Rhodotorula taiwanensis,5.0,0.32536854223702544,110,0.31528171317250697
Rhodotorula taiwanensis,10.0,0.392037844562795,111,0.4011582968103337
Rhodotorula taiwanensis,15.0,0.3361071151996109,105,0.40112188168742824
Rhodotorula taiwanensis,20.0,0.3231123426682818,95,0.0778377574370371
Rhodotorula taiwanensis,25.0,0.31746500914554704,90,0.8837821631060109
Rhodotorula taiwanensis,30.0,0.4372802998328298,48,1.4469250046886935
Rhodotorula toruloides,0.0,0.3076830295235786,175,0.31038488364171357
Rhodotorula toruloides,5.0,0.3373234208919997,170,0.344890770138467
Rhodotorula toruloides,10.0,0.4367353719473719,151,0.49612886455989796
Rhodotorula toruloides,15.0,0.4913276127733934,165,0.5752594298429303
Rhodotorula toruloides,20.0,0.4860934539019599,152,6.016809334815558
Rhodotorula toruloides,25.0,0.4241872751799811,130,0.2831637505092777
Rhodotorula toruloides,30.0,0.3647742712478403,125,0.7496334062528365
