strain_id,well,cu,species,t_capture_h,t_onset_h,max_area,max_chroma,n_tp
4.0,45,10.0,Rhodotorula mucilaginosa,15.0,0.0,55116.0,13.758798520535152,20
4.0,45,15.0,Rhodotorula mucilaginosa,15.0,0.0,49537.0,11.83267036480075,20
4.0,45,20.0,Rhodotorula mucilaginosa,15.0,0.0,49951.0,16.44234397331972,19
4.0,45,25.0,Rhodotorula mucilaginosa,15.0,0.0,48645.0,17.078021116432588,28
4.0,45,30.0,Rhodotorula mucilaginosa,6.0,0.0,47766.0,16.9559093794675,29
5.0,6,0.0,Rhodotorula mucilaginosa,45.0,45.0,28884.0,10.818902083513215,20
5.0,6,5.0,Rhodotorula mucilaginosa,39.0,39.0,40650.0,12.733631084550325,20
5.0,6,10.0,Rhodotorula mucilaginosa,39.0,0.0,40286.0,12.474187785852656,20
5.0,6,15.0,Rhodotorula mucilaginosa,39.0,0.0,36470.0,12.316789853062817,20
5.0,6,20.0,Rhodotorula mucilaginosa,39.0,0.0,32884.0,17.306927858790374,29
5.0,6,25.0,Rhodotorula mucilaginosa,39.0,0.0,31009.0,17.363655905070715,23
5.0,6,30.0,Rhodotorula mucilaginosa,33.0,0.0,25085.0,17.298328269710954,40
5.0,15,0.0,Rhodotorula mucilaginosa,51.0,75.0,21739.0,8.670019363240428,20
5.0,15,5.0,Rhodotorula mucilaginosa,45.0,45.0,31728.0,11.928873486337674,20
5.0,15,10.0,Rhodotorula mucilaginosa,45.0,0.0,26189.0,11.272750370444465,20
5.0,15,15.0,Rhodotorula mucilaginosa,51.0,0.0,27977.0,16.604784565251737,21
5.0,15,20.0,Rhodotorula mucilaginosa,51.0,0.0,22307.0,17.624100128095844,25
5.0,15,25.0,Rhodotorula mucilaginosa,45.0,0.0,24372.0,17.42739506230341,58
5.0,15,30.0,Rhodotorula mucilaginosa,42.0,0.0,21577.0,17.187941971842974,45
5.0,41,0.0,Rhodotorula mucilaginosa,0.0,51.0,35441.0,11.639541877412835,20
5.0,41,5.0,Rhodotorula mucilaginosa,0.0,33.0,45554.0,11.90464559667726,20
5.0,41,10.0,Rhodotorula mucilaginosa,45.0,3.0,40686.0,10.755883421976668,19
5.0,41,15.0,Rhodotorula mucilaginosa,39.0,9.0,39164.0,10.20953003503752,18
5.0,41,20.0,Rhodotorula mucilaginosa,39.0,0.0,37635.0,17.39178729085961,31
5.0,41,25.0,Rhodotorula mucilaginosa,33.0,0.0,36253.0,17.1924927420881,25
5.0,41,30.0,Rhodotorula mucilaginosa,30.0,0.0,29112.0,17.46890664713934,25
5.0,42,0.0,Rhodotorula mucilaginosa,39.0,33.0,32486.0,16.43882206575824,20
5.0,42,5.0,Rhodotorula mucilaginosa,45.0,51.0,35536.0,12.614357773255277,20
5.0,42,10.0,Rhodotorula mucilaginosa,45.0,0.0,29963.0,9.926993175502218,20
5.0,42,15.0,Rhodotorula mucilaginosa,45.0,3.0,19768.0,10.519970753878294,19
5.0,42,20.0,Rhodotorula mucilaginosa,45.0,0.0,15747.0,17.24815326523266,40
5.0,42,25.0,Rhodotorula mucilaginosa,57.0,0.0,8218.0,17.600842773041617,38
5.0,42,30.0,Rhodotorula mucilaginosa,9.0,0.0,1769757.5,17.18130653886278,34
6.0,7,0.0,Rhodotorula mucilaginosa,51.0,51.0,21118.0,10.940331788056156,20
6.0,7,5.0,Rhodotorula mucilaginosa,39.0,51.0,33653.0,13.33584241239673,20
6.0,7,10.0,Rhodotorula mucilaginosa,39.0,0.0,34094.0,11.87035946533827,20
6.0,7,15.0,Rhodotorula mucilaginosa,39.0,0.0,30950.0,15.403704530278697,21
6.0,7,20.0,Rhodotorula mucilaginosa,45.0,0.0,28713.0,17.32671281676208,26
6.0,7,25.0,Rhodotorula mucilaginosa,39.0,0.0,28696.0,17.68209078701944,20
6.0,7,30.0,Rhodotorula mucilaginosa,39.0,0.0,22298.0,17.204359548801804,34
6.0,13,0.0,Rhodotorula mucilaginosa,39.0,51.0,34797.0,11.664145307459709,20
6.0,13,5.0,Rhodotorula mucilaginosa,33.0,0.0,49624.0,12.65948602551339,21
6.0,13,10.0,Rhodotorula mucilaginosa,33.0,0.0,42121.0,10.67938530418545,20
6.0,13,15.0,Rhodotorula mucilaginosa,39.0,0.0,35697.0,11.365033493811763,20
6.0,13,20.0,Rhodotorula mucilaginosa,45.0,0.0,21963.0,17.31334750738254,29
6.0,13,25.0,Rhodotorula mucilaginosa,39.0,0.0,18138.0,17.30332804406576,26
6.0,13,30.0,Rhodotorula mucilaginosa,0.0,0.0,11054.0,17.017046680745867,21
6.0,79,0.0,Rhodotorula mucilaginosa,51.0,87.0,24262.0,8.393608570885615,20
6.0,79,5.0,Rhodotorula mucilaginosa,45.0,63.0,45403.0,9.131656889756783,20
6.0,79,10.0,Rhodotorula mucilaginosa,45.0,3.0,43180.0,10.063568762559491,20
6.0,79,15.0,Rhodotorula mucilaginosa,45.0,0.0,37857.0,16.12361037017702,19
6.0,79,20.0,Rhodotorula mucilaginosa,45.0,0.0,36623.0,17.214052003180388,26
6.0,79,25.0,Rhodotorula mucilaginosa,15.0,0.0,31866.0,17.376529492273555,27
6.0,79,30.0,Rhodotorula mucilaginosa,51.0,0.0,20426.0,17.124273287360936,20
6.0,93,0.0,Rhodotorula mucilaginosa,21.0,39.0,47815.0,12.599791497622975,20
6.0,93,5.0,Rhodotorula mucilaginosa,21.0,39.0,47096.0,13.909164666969724,20
6.0,93,10.0,Rhodotorula mucilaginosa,27.0,0.0,41544.0,13.08360330836331,20
6.0,93,15.0,Rhodotorula mucilaginosa,21.0,0.0,43713.0,12.598705407652124,20
6.0,93,20.0,Rhodotorula mucilaginosa,21.0,0.0,42773.0,17.191997008281717,20
6.0,93,25.0,Rhodotorula mucilaginosa,21.0,0.0,40084.0,16.878494744754963,26
6.0,93,30.0,Rhodotorula mucilaginosa,24.0,0.0,35653.0,16.827566847434067,25
7.0,8,0.0,Rhodotorula mucilaginosa,9.0,63.0,24688.0,10.148961743147128,20
7.0,8,5.0,Rhodotorula mucilaginosa,39.0,57.0,33239.0,12.681919605834585,20
7.0,8,10.0,Rhodotorula mucilaginosa,39.0,0.0,31246.0,10.04504344648246,20
7.0,8,15.0,Rhodotorula mucilaginosa,39.0,0.0,26525.0,16.6523032011342,24
7.0,8,20.0,Rhodotorula mucilaginosa,39.0,0.0,20395.0,17.276973502579665,31
7.0,8,25.0,Rhodotorula mucilaginosa,33.0,0.0,12427.0,17.436996388834483,28
7.0,8,30.0,Rhodotorula mucilaginosa,51.0,0.0,4336.0,17.37390552627598,41
7.0,68,0.0,Rhodotorula mucilaginosa,33.0,51.0,36542.0,11.085236139282369,20
7.0,68,5.0,Rhodotorula mucilaginosa,27.0,45.0,44663.0,13.123916698791328,20
7.0,68,10.0,Rhodotorula mucilaginosa,27.0,69.0,41803.0,9.89218155145614,20
7.0,68,15.0,Rhodotorula mucilaginosa,21.0,0.0,31662.0,8.60789473126861,20
7.0,68,20.0,Rhodotorula mucilaginosa,27.0,0.0,23460.0,17.116970115293437,21
7.0,68,25.0,Rhodotorula mucilaginosa,33.0,0.0,14532.0,16.951450937534304,21
7.0,68,30.0,Rhodotorula mucilaginosa,6.0,0.0,8160.0,16.966388441688956,29
7.0,72,0.0,Rhodotorula mucilaginosa,51.0,69.0,21294.0,9.72275852924614,20
7.0,72,5.0,Rhodotorula mucilaginosa,0.0,39.0,36761.0,12.132176965854567,20
7.0,72,10.0,Rhodotorula mucilaginosa,39.0,0.0,35982.0,12.089733046165838,21
7.0,72,15.0,Rhodotorula mucilaginosa,45.0,0.0,35296.0,15.75619108054391,26
7.0,72,20.0,Rhodotorula mucilaginosa,45.0,0.0,33504.0,16.98976568471857,27
7.0,72,25.0,Rhodotorula mucilaginosa,33.0,0.0,33322.0,17.25816171290658,51
7.0,72,30.0,Rhodotorula mucilaginosa,30.0,0.0,30401.0,17.206850729288856,37
7.0,93,0.0,Rhodotorula mucilaginosa,51.0,63.0,22344.0,9.969830837809372,20
7.0,93,5.0,Rhodotorula mucilaginosa,39.0,39.0,40719.0,12.073925521459753,20
7.0,93,10.0,Rhodotorula mucilaginosa,39.0,0.0,37002.0,12.308602590708448,20
7.0,93,15.0,Rhodotorula mucilaginosa,45.0,0.0,31282.0,13.250310961216172,20
7.0,93,20.0,Rhodotorula mucilaginosa,39.0,0.0,31507.0,17.218949719360797,23
7.0,93,25.0,Rhodotorula mucilaginosa,39.0,0.0,31002.0,17.117673603312788,22
7.0,93,30.0,Rhodotorula mucilaginosa,15.0,0.0,106228.0,17.307114145075467,28
8.0,9,0.0,Rhodotorula mucilaginosa,0.0,39.0,26921.0,13.12323903471091,20
8.0,9,5.0,Rhodotorula mucilaginosa,39.0,39.0,42009.0,13.749954650724572,20
8.0,9,10.0,Rhodotorula mucilaginosa,45.0,0.0,38096.0,10.280118304485931,20
8.0,9,15.0,Rhodotorula mucilaginosa,39.0,3.0,30165.0,10.663492541188344,19
8.0,9,20.0,Rhodotorula mucilaginosa,33.0,3.0,22531.0,15.397863732146584,19
8.0,9,25.0,Rhodotorula mucilaginosa,27.0,0.0,14488.0,17.113925950893794,25
8.0,9,30.0,Rhodotorula mucilaginosa,69.0,0.0,2870.0,17.27548523485264,36
8.0,26,0.0,Rhodotorula mucilaginosa,51.0,57.0,24383.0,11.336855963954504,20
8.0,26,5.0,Rhodotorula mucilaginosa,45.0,51.0,31147.0,12.446051731683424,20
8.0,26,10.0,Rhodotorula mucilaginosa,51.0,0.0,26399.0,10.890065180352448,20
