strain_id,species,n_cu,slope_logchroma_per_mM,intercept_logchroma,r2,environment,origin
150.0,Rhodotorula mucilaginosa,28,-0.03691421981063008,2.7670594970502274,0.6920331707502603,marsh_tidalflat,China
151.0,Rhodotorula mucilaginosa,28,-0.02088374498779177,2.5694095174892118,0.42130906685924807,,China
152.0,Rhodotorula mucilaginosa,28,-0.02229046088938444,2.594275719748255,0.4076808800364064,marsh_tidalflat,China
153.0,Rhodotorula mucilaginosa,28,-0.031066389494382257,2.5984981599305716,0.3267888710872091,marsh_tidalflat,China
155.0,Rhodotorula taiwanensis,26,-0.02745160834872497,2.7593030047019345,0.5636188792795088,marsh_tidalflat,China
156.0,Rhodotorula paludigena,28,-0.038974989237774774,2.8298048306355206,0.6598373561793044,marsh_tidalflat,China
157.0,Rhodotorula paludigena,28,-0.048117786016448554,2.8168362763360317,0.6256000453062908,marsh_tidalflat,China
158.0,Rhodotorula mucilaginosa,28,-0.013435276850821165,2.374848718490598,0.13421202571307222,marsh_tidalflat,China
159.0,Rhodotorula mucilaginosa,28,-0.013018019478876057,2.5357968404557782,0.5001910966068936,marsh_tidalflat,China
161.0,Rhodotorula mucilaginosa,28,-0.019716720985315853,2.66907945478618,0.507720570853653,marsh_tidalflat,China
162.0,Rhodotorula mucilaginosa,21,-0.04251972187744256,2.7304257603714808,0.8487780175331711,marsh_tidalflat,China
163.0,Rhodotorula mucilaginosa,28,-0.019465677725404817,2.4272782493239635,0.37835763080791723,marsh_tidalflat,China
164.0,Rhodotorula mucilaginosa,28,-0.019885998495962925,2.45966737410364,0.17969846233962686,marsh_tidalflat,China
166.0,Rhodotorula mucilaginosa,24,-0.03273120405018112,2.343802589523392,0.2326702301509878,food,Italy
167.0,Rhodotorula mucilaginosa,28,-0.008289499866102197,2.3620193878579796,0.16597924205694387,food,Italy
168.0,Rhodotorula mucilaginosa,28,-0.018477155916392717,2.602542095143885,0.540001712403664,soil,Italy
169.0,Rhodotorula mucilaginosa,25,-0.00686220502265311,2.290249778635069,0.07817899818679655,cave,Italy
170.0,Rhodotorula mucilaginosa,28,-0.03130316651412965,2.566560246690603,0.600558714607853,food,Italy
171.0,Rhodotorula mucilaginosa,28,-0.021624795513215424,2.680535087830309,0.6397332793868445,soil,Italy
172.0,Rhodotorula mucilaginosa,28,-0.008573371802662367,2.4570419998396016,0.06035781815053971,marsh_tidalflat,China
174.0,Rhodotorula mucilaginosa,28,-0.030055897264820754,2.612384852261032,0.5638547938768136,marsh_tidalflat,China
175.0,Rhodotorula mucilaginosa,23,-0.02252632050417034,2.3097774931016644,0.14141764435189294,food,Italy
176.0,Rhodotorula mucilaginosa,28,-0.017484131084699615,2.578810132586988,0.5866791577903233,soil,Italy
177.0,Rhodotorula mucilaginosa,28,-0.03138849612037817,2.4671334312816224,0.8664210326529084,soil,Italy
178.0,Rhodotorula mucilaginosa,28,-0.020573644343262344,2.260464415002405,0.6586833679030095,cave,Italy
179.0,Rhodotorula mucilaginosa,28,-0.031362792470667,2.83073128095771,0.8713357701399035,food,Italy
181.0,Rhodotorula mucilaginosa,28,-0.023562244043646402,2.580500581354422,0.8041252695849701,marsh_tidalflat,China
182.0,Rhodotorula mucilaginosa,28,-0.04259622106665109,2.782758384188204,0.8364459038768508,marsh_tidalflat,China
183.0,Rhodotorula mucilaginosa,28,-0.011795168408695496,2.591753077946234,0.5441666606247803,marsh_tidalflat,China
185.0,Rhodotorula dairenensis,28,-0.004124788721456231,2.4227537346733548,0.10587609586471652,soil,Italy
186.0,Rhodotorula mucilaginosa,28,-0.015215906237237961,2.5180801009608587,0.7850234526552811,soil,Italy
188.0,Rhodotorula mucilaginosa,28,-0.0014847369152612394,2.182761561669907,0.004625044176631674,sand,Italy
189.0,Rhodotorula mucilaginosa,28,-0.05419919662977143,2.7219227769554455,0.8333867828898839,food,Italy
190.0,Rhodotorula mucilaginosa,28,-0.006079070398792734,2.4722940757944416,0.17458501988105568,marsh_tidalflat,China
192.0,Rhodotorula dairenensis,28,-0.01440118540132122,2.60398981780992,0.4845583693328026,plant,Italy
193.0,Rhodotorula mucilaginosa,28,-0.0065034318504288815,2.5610335390265435,0.4693678918306074,plant,Italy
194.0,Rhodotorula dairenensis,28,-0.009265625004358765,2.571093037420306,0.4369938407955376,soil,Italy
196.0,Rhodotorula mucilaginosa,28,-0.01891303367608288,2.486798255876589,0.8472003078843019,plant,Italy
197.0,Rhodotorula mucilaginosa,22,-0.023855277098196723,2.3886779633762827,0.26042791836169693,marine,Italy
198.0,Rhodotorula mucilaginosa,21,-0.021482660867364993,2.8195127473586736,0.7596583011919524,food,Italy
199.0,Rhodotorula mucilaginosa,28,-0.01575368804743554,2.585815082159834,0.7382098635949003,marsh_tidalflat,China
200.0,Rhodotorula mucilaginosa,28,-0.010227276358762949,2.4775878346593823,0.4452994884999521,,China
201.0,Rhodotorula mucilaginosa,12,-0.006414514472037015,2.1839701177361004,0.080502277385759,unknown,Italy
202.0,Rhodotorula mucilaginosa,28,-0.008992588662694097,2.6684151705801678,0.4888144292737659,plant,Italy
