strain_id,copper_mm,species,hue_wmean,chroma_median,n,morph
31.0,25.0,Rhodotorula mucilaginosa,38.40933656992255,5.775219830698294,20.0,0
31.0,30.0,Rhodotorula mucilaginosa,29.553528680866474,3.093370221172996,20.0,1
32.0,0.0,Rhodotorula mucilaginosa,27.44699397154582,11.787103054759102,20.0,1
32.0,5.0,Rhodotorula mucilaginosa,37.14649046471152,12.29914071587294,20.0,0
32.0,10.0,Rhodotorula mucilaginosa,38.846891550682756,10.022917209683389,20.0,0
32.0,15.0,Rhodotorula mucilaginosa,43.35194699286593,9.052376935190635,20.0,0
32.0,20.0,Rhodotorula mucilaginosa,44.77453678525779,6.812103568864576,20.0,0
32.0,25.0,Rhodotorula mucilaginosa,48.30070186029398,5.347224055867883,20.0,0
32.0,30.0,Rhodotorula mucilaginosa,38.16491306572582,2.924533389425103,15.0,0
33.0,0.0,Rhodotorula mucilaginosa,24.68003002980197,9.387302307944278,20.0,1
33.0,5.0,Rhodotorula mucilaginosa,41.41127122270593,11.769075961321864,20.0,0
33.0,10.0,Rhodotorula mucilaginosa,41.468649324247295,10.932834008755123,20.0,0
33.0,15.0,Rhodotorula mucilaginosa,40.26644030912437,8.372770602682028,20.0,0
33.0,20.0,Rhodotorula mucilaginosa,38.23416791806689,4.786029704410497,20.0,0
33.0,25.0,Rhodotorula mucilaginosa,44.36137292069856,4.56991318022345,20.0,0
33.0,30.0,Rhodotorula mucilaginosa,34.64595467464931,3.4399326806983037,20.0,0
34.0,0.0,Rhodotorula sphaerocarpa,23.9342914427997,11.19827307555314,20.0,1
34.0,5.0,Rhodotorula sphaerocarpa,41.1065967858546,12.278910610260834,15.0,0
34.0,10.0,Rhodotorula sphaerocarpa,46.47979047200076,12.06932998665077,15.0,0
34.0,15.0,Rhodotorula sphaerocarpa,43.464908139813566,8.850898374915804,20.0,0
34.0,20.0,Rhodotorula sphaerocarpa,41.70021779375696,8.792276756599463,20.0,0
