strain_id,species,pace_loglog
7.0,Rhodotorula mucilaginosa,0.10035508884375337
7.0,Rhodotorula mucilaginosa,0.33967571874575225
7.0,Rhodotorula mucilaginosa,0.3474306000160818
7.0,Rhodotorula mucilaginosa,0.34207016604542895
7.0,Rhodotorula mucilaginosa,0.8923374136146748
7.0,Rhodotorula mucilaginosa,0.8923374136146748
7.0,Rhodotorula mucilaginosa,0.8923374136146748
7.0,Rhodotorula mucilaginosa,0.8923374136146748
7.0,Rhodotorula mucilaginosa,0.2680449890773581
7.0,Rhodotorula mucilaginosa,0.36326744629885555
7.0,Rhodotorula mucilaginosa,0.08585660509688588
7.0,Rhodotorula mucilaginosa,0.08585660509688588
7.0,Rhodotorula mucilaginosa,0.08585660509688588
7.0,Rhodotorula mucilaginosa,0.08585660509688588
7.0,Rhodotorula mucilaginosa,0.08585660509688588
7.0,Rhodotorula mucilaginosa,0.2970452956883184
7.0,Rhodotorula mucilaginosa,0.3079513290986011
7.0,Rhodotorula mucilaginosa,0.47409690886459416
7.0,Rhodotorula mucilaginosa,0.47409690886459416
7.0,Rhodotorula mucilaginosa,0.47409690886459416
7.0,Rhodotorula mucilaginosa,0.47409690886459416
7.0,Rhodotorula mucilaginosa,0.47409690886459416
8.0,Rhodotorula mucilaginosa,0.314113860260316
8.0,Rhodotorula mucilaginosa,0.314113860260316
8.0,Rhodotorula mucilaginosa,0.07412714932765413
8.0,Rhodotorula mucilaginosa,0.03626227143881363
8.0,Rhodotorula mucilaginosa,0.03626227143881363
8.0,Rhodotorula mucilaginosa,0.07412714932765413
8.0,Rhodotorula mucilaginosa,0.07412714932765413
8.0,Rhodotorula mucilaginosa,0.32408265515867923
8.0,Rhodotorula mucilaginosa,0.31586310902981063
8.0,Rhodotorula mucilaginosa,-0.497068988197184
8.0,Rhodotorula mucilaginosa,-0.497068988197184
8.0,Rhodotorula mucilaginosa,-0.497068988197184
8.0,Rhodotorula mucilaginosa,-0.497068988197184
8.0,Rhodotorula mucilaginosa,-0.497068988197184
8.0,Rhodotorula mucilaginosa,0.3458573936329964
8.0,Rhodotorula mucilaginosa,0.3458573936329964
8.0,Rhodotorula mucilaginosa,0.6450315816727038
8.0,Rhodotorula mucilaginosa,0.6450315816727038
8.0,Rhodotorula mucilaginosa,0.6450315816727038
8.0,Rhodotorula mucilaginosa,0.6450315816727038
8.0,Rhodotorula mucilaginosa,0.6450315816727038
8.0,Rhodotorula mucilaginosa,0.33830704554631524
8.0,Rhodotorula mucilaginosa,0.37605940480135014
